No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir,datetime,cbwd_NE,cbwd_NW,cbwd_SE,cbwd_cv,day_of_week,season,hour_category,hour_cat_afternoon,hour_cat_evening,hour_cat_morning,hour_cat_night
16006,2011,10,29,21,220.0,7,8.0,1021.0,SE,22.8,0,0,2011-10-29 21:00:00,False,False,True,False,5,4,evening,False,True,False,False
16007,2011,10,29,22,267.0,8,8.0,1021.0,SE,23.69,0,0,2011-10-29 22:00:00,False,False,True,False,5,4,evening,False,True,False,False
16008,2011,10,29,23,332.0,6,7.0,1021.0,cv,0.89,0,0,2011-10-29 23:00:00,False,False,False,True,5,4,evening,False,True,False,False
16009,2011,10,30,0,350.0,7,7.0,1021.0,SE,0.89,0,0,2011-10-30 00:00:00,False,False,True,False,6,4,night,False,False,False,True
16010,2011,10,30,1,329.0,7,7.0,1020.0,cv,0.89,0,0,2011-10-30 01:00:00,False,False,False,True,6,4,night,False,False,False,True
16011,2011,10,30,2,306.0,5,5.0,1020.0,NW,0.89,0,0,2011-10-30 02:00:00,False,True,False,False,6,4,night,False,False,False,True
16012,2011,10,30,3,302.0,4,5.0,1020.0,NE,0.89,0,0,2011-10-30 03:00:00,True,False,False,False,6,4,night,False,False,False,True
16013,2011,10,30,4,297.0,4,4.0,1020.0,cv,0.45,0,0,2011-10-30 04:00:00,False,False,False,True,6,4,night,False,False,False,True
16014,2011,10,30,5,288.0,3,4.0,1020.0,SE,0.89,0,0,2011-10-30 05:00:00,False,False,True,False,6,4,night,False,False,False,True
16015,2011,10,30,6,293.0,4,4.0,1021.0,cv,0.45,0,0,2011-10-30 06:00:00,False,False,False,True,6,4,morning,False,False,True,False
16016,2011,10,30,7,275.0,6,6.0,1021.0,cv,1.34,0,0,2011-10-30 07:00:00,False,False,False,True,6,4,morning,False,False,True,False
16017,2011,10,30,8,257.0,5,6.0,1022.0,SE,1.79,0,0,2011-10-30 08:00:00,False,False,True,False,6,4,morning,False,False,True,False
16018,2011,10,30,9,248.0,6,6.0,1022.0,cv,0.89,0,0,2011-10-30 09:00:00,False,False,False,True,6,4,morning,False,False,True,False
16019,2011,10,30,10,291.0,6,6.0,1022.0,cv,1.78,0,0,2011-10-30 10:00:00,False,False,False,True,6,4,morning,False,False,True,False
16020,2011,10,30,11,354.0,9,9.0,1022.0,cv,2.67,0,0,2011-10-30 11:00:00,False,False,False,True,6,4,morning,False,False,True,False
16021,2011,10,30,12,387.0,9,10.0,1021.0,SE,1.79,0,0,2011-10-30 12:00:00,False,False,True,False,6,4,afternoon,True,False,False,False
16022,2011,10,30,13,420.0,9,13.0,1020.0,SE,3.58,0,0,2011-10-30 13:00:00,False,False,True,False,6,4,afternoon,True,False,False,False
16023,2011,10,30,14,460.0,10,13.0,1021.0,SE,5.37,0,0,2011-10-30 14:00:00,False,False,True,False,6,4,afternoon,True,False,False,False
16024,2011,10,30,15,270.0,10,14.0,1020.0,SE,7.16,0,0,2011-10-30 15:00:00,False,False,True,False,6,4,afternoon,True,False,False,False
16025,2011,10,30,16,181.0,9,13.0,1021.0,SE,12.08,0,0,2011-10-30 16:00:00,False,False,True,False,6,4,afternoon,True,False,False,False
16026,2011,10,30,17,211.0,9,12.0,1021.0,SE,15.21,0,0,2011-10-30 17:00:00,False,False,True,False,6,4,afternoon,True,False,False,False
16027,2011,10,30,18,206.0,9,12.0,1022.0,SE,17.0,0,0,2011-10-30 18:00:00,False,False,True,False,6,4,evening,False,True,False,False
16028,2011,10,30,19,224.0,9,12.0,1022.0,SE,18.79,0,0,2011-10-30 19:00:00,False,False,True,False,6,4,evening,False,True,False,False
16029,2011,10,30,20,217.0,9,11.0,1023.0,SE,19.68,0,0,2011-10-30 20:00:00,False,False,True,False,6,4,evening,False,True,False,False
16030,2011,10,30,21,207.0,9,11.0,1023.0,SE,20.57,0,0,2011-10-30 21:00:00,False,False,True,False,6,4,evening,False,True,False,False
16031,2011,10,30,22,233.0,10,11.0,1023.0,SE,22.36,0,0,2011-10-30 22:00:00,False,False,True,False,6,4,evening,False,True,False,False
16032,2011,10,30,23,253.0,9,11.0,1023.0,SE,24.15,0,0,2011-10-30 23:00:00,False,False,True,False,6,4,evening,False,True,False,False
16033,2011,10,31,0,257.0,9,11.0,1023.0,SE,25.04,0,0,2011-10-31 00:00:00,False,False,True,False,0,4,night,False,False,False,True
16034,2011,10,31,1,258.0,10,11.0,1023.0,cv,0.89,0,0,2011-10-31 01:00:00,False,False,False,True,0,4,night,False,False,False,True
16035,2011,10,31,2,255.0,9,11.0,1023.0,cv,1.34,0,0,2011-10-31 02:00:00,False,False,False,True,0,4,night,False,False,False,True
16036,2011,10,31,3,258.0,10,11.0,1023.0,SE,0.89,0,0,2011-10-31 03:00:00,False,False,True,False,0,4,night,False,False,False,True
16037,2011,10,31,4,257.0,9,11.0,1022.0,cv,0.89,0,0,2011-10-31 04:00:00,False,False,False,True,0,4,night,False,False,False,True
16038,2011,10,31,5,257.0,10,11.0,1023.0,cv,1.78,0,0,2011-10-31 05:00:00,False,False,False,True,0,4,night,False,False,False,True
16039,2011,10,31,6,257.0,10,11.0,1023.0,NE,0.89,0,0,2011-10-31 06:00:00,True,False,False,False,0,4,morning,False,False,True,False
16040,2011,10,31,7,256.0,10,11.0,1023.0,cv,0.89,0,0,2011-10-31 07:00:00,False,False,False,True,0,4,morning,False,False,True,False
16041,2011,10,31,8,264.0,10,11.0,1023.0,cv,1.78,0,0,2011-10-31 08:00:00,False,False,False,True,0,4,morning,False,False,True,False
16042,2011,10,31,9,264.0,11,12.0,1024.0,cv,2.67,0,0,2011-10-31 09:00:00,False,False,False,True,0,4,morning,False,False,True,False
16043,2011,10,31,10,268.0,11,13.0,1023.0,SE,1.79,0,0,2011-10-31 10:00:00,False,False,True,False,0,4,morning,False,False,True,False
16044,2011,10,31,11,269.0,11,13.0,1023.0,SE,4.92,0,0,2011-10-31 11:00:00,False,False,True,False,0,4,morning,False,False,True,False
16045,2011,10,31,12,263.0,11,14.0,1023.0,SE,8.05,0,0,2011-10-31 12:00:00,False,False,True,False,0,4,afternoon,True,False,False,False
16046,2011,10,31,13,214.0,11,14.0,1022.0,SE,9.84,0,0,2011-10-31 13:00:00,False,False,True,False,0,4,afternoon,True,False,False,False
16047,2011,10,31,14,205.0,12,15.0,1022.0,cv,0.89,0,0,2011-10-31 14:00:00,False,False,False,True,0,4,afternoon,True,False,False,False
16048,2011,10,31,15,202.0,12,15.0,1022.0,cv,1.78,0,0,2011-10-31 15:00:00,False,False,False,True,0,4,afternoon,True,False,False,False
16049,2011,10,31,16,208.0,12,15.0,1022.0,cv,2.67,0,0,2011-10-31 16:00:00,False,False,False,True,0,4,afternoon,True,False,False,False
16050,2011,10,31,17,214.0,12,14.0,1022.0,NE,0.89,0,0,2011-10-31 17:00:00,True,False,False,False,0,4,afternoon,True,False,False,False
16051,2011,10,31,18,227.0,12,14.0,1022.0,cv,0.89,0,0,2011-10-31 18:00:00,False,False,False,True,0,4,evening,False,True,False,False
16052,2011,10,31,19,245.0,12,14.0,1023.0,cv,1.78,0,0,2011-10-31 19:00:00,False,False,False,True,0,4,evening,False,True,False,False
16053,2011,10,31,20,252.0,12,13.0,1023.0,cv,2.67,0,0,2011-10-31 20:00:00,False,False,False,True,0,4,evening,False,True,False,False
16054,2011,10,31,21,248.0,12,13.0,1023.0,cv,3.12,0,0,2011-10-31 21:00:00,False,False,False,True,0,4,evening,False,True,False,False
16055,2011,10,31,22,248.0,12,13.0,1023.0,cv,3.57,0,0,2011-10-31 22:00:00,False,False,False,True,0,4,evening,False,True,False,False
16056,2011,10,31,23,264.0,12,13.0,1023.0,cv,4.02,0,0,2011-10-31 23:00:00,False,False,False,True,0,4,evening,False,True,False,False
16057,2011,11,1,0,266.0,12,13.0,1023.0,cv,4.91,0,0,2011-11-01 00:00:00,False,False,False,True,1,4,night,False,False,False,True
16058,2011,11,1,1,253.0,12,13.0,1023.0,SE,1.79,0,0,2011-11-01 01:00:00,False,False,True,False,1,4,night,False,False,False,True
16059,2011,11,1,2,245.0,13,14.0,1022.0,SE,4.92,0,0,2011-11-01 02:00:00,False,False,True,False,1,4,night,False,False,False,True
16060,2011,11,1,3,246.0,12,13.0,1022.0,cv,0.89,0,0,2011-11-01 03:00:00,False,False,False,True,1,4,night,False,False,False,True
16061,2011,11,1,4,254.0,12,13.0,1022.0,NE,0.89,0,0,2011-11-01 04:00:00,True,False,False,False,1,4,night,False,False,False,True
16062,2011,11,1,5,259.0,12,12.0,1022.0,SE,0.89,0,0,2011-11-01 05:00:00,False,False,True,False,1,4,night,False,False,False,True
16063,2011,11,1,6,252.0,11,12.0,1022.0,cv,0.89,0,0,2011-11-01 06:00:00,False,False,False,True,1,4,morning,False,False,True,False
16064,2011,11,1,7,256.0,11,12.0,1022.0,cv,1.78,0,0,2011-11-01 07:00:00,False,False,False,True,1,4,morning,False,False,True,False
16065,2011,11,1,8,283.0,12,13.0,1023.0,cv,2.67,0,0,2011-11-01 08:00:00,False,False,False,True,1,4,morning,False,False,True,False
16066,2011,11,1,9,284.0,12,13.0,1023.0,SE,1.79,0,0,2011-11-01 09:00:00,False,False,True,False,1,4,morning,False,False,True,False
16067,2011,11,1,10,297.0,12,14.0,1023.0,SE,3.58,0,0,2011-11-01 10:00:00,False,False,True,False,1,4,morning,False,False,True,False
16070,2011,11,1,13,312.0,12,15.0,1023.0,cv,1.78,0,1,2011-11-01 13:00:00,False,False,False,True,1,4,afternoon,True,False,False,False
16071,2011,11,1,14,343.0,13,15.0,1022.0,cv,2.67,0,0,2011-11-01 14:00:00,False,False,False,True,1,4,afternoon,True,False,False,False
16072,2011,11,1,15,339.0,13,14.0,1022.0,NE,1.79,0,0,2011-11-01 15:00:00,True,False,False,False,1,4,afternoon,True,False,False,False
16073,2011,11,1,16,288.0,12,15.0,1023.0,NW,3.13,0,0,2011-11-01 16:00:00,False,True,False,False,1,4,afternoon,True,False,False,False
16074,2011,11,1,17,102.0,9,14.0,1023.0,NW,8.05,0,0,2011-11-01 17:00:00,False,True,False,False,1,4,afternoon,True,False,False,False
16075,2011,11,1,18,48.0,10,13.0,1024.0,NW,12.07,0,0,2011-11-01 18:00:00,False,True,False,False,1,4,evening,False,True,False,False
16076,2011,11,1,19,43.0,11,13.0,1025.0,NW,16.09,0,0,2011-11-01 19:00:00,False,True,False,False,1,4,evening,False,True,False,False
16077,2011,11,1,20,44.0,9,12.0,1025.0,NW,20.11,0,0,2011-11-01 20:00:00,False,True,False,False,1,4,evening,False,True,False,False
16078,2011,11,1,21,57.0,7,10.0,1026.0,NW,24.13,0,0,2011-11-01 21:00:00,False,True,False,False,1,4,evening,False,True,False,False
16079,2011,11,1,22,32.0,7,9.0,1026.0,NW,28.15,0,0,2011-11-01 22:00:00,False,True,False,False,1,4,evening,False,True,False,False
16080,2011,11,1,23,38.0,6,8.0,1026.0,NW,31.28,0,0,2011-11-01 23:00:00,False,True,False,False,1,4,evening,False,True,False,False
16081,2011,11,2,0,38.0,6,7.0,1026.0,NW,34.41,0,0,2011-11-02 00:00:00,False,True,False,False,2,4,night,False,False,False,True
